"Year (time)","Geographic Area Name (NAME)","2017 NAICS Code (NAICS)","Meaning of NAICS Code (NAICS_LABEL)","Meaning of Establishments located in Metropolitan or Micropolitan Statistical Area indicator (METRO_LABEL)","Number of firms (FIRM)","Number of establishments (ESTAB)","Number of employees (EMP)","(DHS) denominator (DENOM)","Number of establishments born during the last 12 months (ESTABS_ENTRY)","Rate of establishments born during the last 12 months (ESTABS_ENTRY_RATE)","Number of establishments exited during the last 12 months (ESTABS_EXIT)","Rate of establishments exited during the last 12 months (ESTABS_EXIT_RATE)","Number of jobs created from expanding and opening establishments during the last 12 months (JOB_CREATION)","Number of jobs created from opening establishments during the last 12 months (JOB_CREATION_BIRTHS)","Number of jobs created from expanding establishments during the last 12 months (JOB_CREATION_CONTINUERS)","Rate of jobs created from opening establishments during the last 12 months (JOB_CREATION_RATE_BIRTHS)","Rate of jobs created from expanding and opening establishments during the last 12 months (JOB_CREATION_RATE)","Number of jobs lost from contracting and closing establishments during the last 12 months (JOB_DESTRUCTION)","Number of jobs lost from closing establishments during the last 12 months (JOB_DESTRUCTION_DEATHS)","Number of jobs lost from contracting establishments during the last 12 months (JOB_DESTRUCTION_CONTINUERS)","Rate of jobs lost from closing establishments during the last 12 months (JOB_DESTRUCTION_RATE_DEATHS)","Rate of jobs lost from contracting and closing establishments during the last 12 months (JOB_DESTRUCTION_RATE)","Number of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months (NET_JOB_CREATION)","Rate of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months (NET_JOB_CREATION_RATE)","Rate of reallocation during the last 12 months (REALLOCATION_RATE)","Number of firms that exited during the last 12 months (FIRMDEATH_FIRMS)","Number of establishments associated with firm deaths during the last 12 months (FIRMDEATH_ESTABS)","Number of employees associated with firm deaths during the last 12 months (FIRMDEATH_EMP)"
"1998","United States","00","Total for all sectors","Total","4,853,365","6,187,189","107,677,922","106,023,674","702,298","11.434","612,366","9.970","17,954,568","6,120,531","11,834,037","5.773","16.934","14,617,950","4,954,857","9,663,093","4.673","13.787","3,336,618","3.147","27.575","400,468","413,211","2,474,989"
"1999","United States","00","Total for all sectors","Total","4,882,920","6,245,847","109,798,177","108,811,839","691,280","11.119","633,539","10.190","17,668,591","6,099,481","11,569,110","5.606","16.238","15,695,906","5,632,756","10,063,150","5.177","14.425","1,972,685","1.813","28.850","408,700","424,002","2,731,114"
"2000","United States","00","Total for all sectors","Total","4,902,688","6,300,959","113,580,977","111,854,596","680,793","10.849","628,940","10.023","18,667,643","6,164,783","12,502,860","5.511","16.689","15,220,763","5,365,974","9,854,789","4.797","13.608","3,446,880","3.082","27.215","405,054","420,691","2,584,824"
"2001","United States","00","Total for all sectors","Total","4,913,026","6,332,541","113,762,122","113,648,128","694,280","10.992","661,451","10.472","17,758,400","6,314,202","11,444,198","5.556","15.626","17,529,551","6,322,783","11,206,768","5.563","15.424","228,849","0.201","30.849","408,275","425,798","2,823,695"
"2002","United States","00","Total for all sectors","Total","4,929,588","6,392,493","111,806,474","113,152,210","759,225","11.916","716,892","11.252","18,534,074","7,466,120","11,067,954","6.598","16.380","21,237,290","7,145,048","14,092,242","6.315","18.769","−2,703,216","−2.389","32.760","424,349","439,540","3,421,879"
"2003","United States","00","Total for all sectors","Total","4,992,505","6,459,699","112,470,635","112,138,004","734,540","11.433","665,135","10.352","17,680,374","6,014,548","11,665,826","5.364","15.767","17,021,242","5,842,203","11,179,039","5.210","15.179","659,132","0.588","30.358","416,540","428,295","2,631,272"
"2004","United States","00","Total for all sectors","Total","5,085,554","6,567,564","114,153,514","113,373,966","749,984","11.513","642,887","9.869","17,244,474","5,848,186","11,396,288","5.158","15.210","15,721,742","5,547,854","10,173,888","4.893","13.867","1,522,732","1.343","27.734","414,441","426,506","2,652,596"
"2005","United States","00","Total for all sectors","Total","5,167,197","6,676,953","115,436,631","114,827,969","769,592","11.621","660,923","9.980","17,011,855","6,140,590","10,871,265","5.348","14.815","15,790,973","5,180,047","10,610,926","4.511","13.752","1,220,882","1.063","27.504","430,610","441,887","2,655,820"
"2006","United States","00","Total for all sectors","Total","5,256,390","6,841,232","119,273,934","117,433,033","845,447","12.509","680,843","10.073","18,702,511","6,839,546","11,862,965","5.824","15.926","15,039,731","5,013,158","10,026,573","4.269","12.807","3,662,780","3.119","25.614","460,700","471,139","2,623,146"
"2007","United States","00","Total for all sectors","Total","5,293,177","6,918,834","119,789,883","119,562,253","808,143","11.748","728,051","10.584","18,281,774","6,360,723","11,921,051","5.320","15.291","17,830,638","5,897,019","11,933,619","4.932","14.913","451,136","0.377","29.827","467,465","477,325","2,799,410"
"2008","United States","00","Total for all sectors","Total","5,232,233","6,875,852","119,577,841","119,640,729","711,369","10.316","751,321","10.895","16,967,696","5,626,906","11,340,790","4.703","14.182","17,125,214","5,589,330","11,535,884","4.672","14.314","−157,518","−0.132","28.364","495,808","506,425","2,861,728"
"2009","United States","00","Total for all sectors","Total","5,090,292","6,740,558","113,691,683","116,783,447","633,564","9.290","792,689","11.623","13,391,623","4,972,585","8,419,038","4.258","11.467","19,588,343","5,594,170","13,994,173","4.790","16.773","−6,196,720","−5.306","22.934","511,486","524,436","3,059,694"
"2010","United States","00","Total for all sectors","Total","5,018,813","6,672,057","111,309,955","112,519,639","636,919","9.496","707,203","10.544","13,412,849","4,761,629","8,651,220","4.232","11.920","15,813,128","4,731,827","11,081,301","4.205","14.054","−2,400,279","−2.133","23.841","440,520","453,105","2,411,858"
"2011","United States","00","Total for all sectors","Total","4,995,859","6,668,509","112,879,366","112,103,809","659,925","9.894","662,940","9.939","14,735,969","4,562,103","10,173,866","4.070","13.145","13,173,633","4,242,056","8,931,577","3.784","11.751","1,562,336","1.394","23.503","420,718","433,755","2,213,182"
"2012","United States","00","Total for all sectors","Total","5,042,675","6,713,567","115,353,493","114,123,900","670,353","10.019","624,429","9.333","15,749,664","4,705,968","11,043,696","4.124","13.800","13,279,605","4,393,797","8,885,808","3.850","11.636","2,470,059","2.164","23.272","380,124","392,454","2,205,602"
"2013","United States","00","Total for all sectors","Total","5,067,524","6,753,461","117,602,279","116,501,552","661,128","9.819","619,829","9.206","15,538,812","4,901,531","10,637,281","4.207","13.338","13,336,888","4,468,805","8,868,083","3.836","11.448","2,201,924","1.890","22.896","384,914","392,695","2,217,436"
"2014","United States","00","Total for all sectors","Total","5,104,509","6,826,222","120,124,783","118,844,398","672,677","9.906","601,184","8.853","15,601,678","5,075,045","10,526,633","4.270","13.128","13,040,131","4,296,355","8,743,776","3.615","10.972","2,561,547","2.155","21.945","382,354","390,861","2,127,232"
"2015","United States","00","Total for all sectors","Total","5,151,116","6,911,298","123,230,846","121,683,226","689,779","10.042","605,357","8.813","16,293,694","5,398,958","10,894,736","4.437","13.390","13,190,087","4,298,674","8,891,413","3.533","10.840","3,103,607","2.551","21.679","383,683","393,440","2,235,726"
"2016","United States","00","Total for all sectors","Total","5,216,688","7,036,473","125,746,900","124,494,047","710,693","10.191","585,718","8.399","16,037,554","5,263,576","10,773,978","4.228","12.882","13,537,595","4,296,025","9,241,570","3.451","10.874","2,499,959","2.008","21.748","385,840","395,735","2,316,597"
"2017","United States","00","Total for all sectors","Total","5,251,809","7,078,276","127,480,852","126,481,010","683,300","9.682","640,913","9.082","17,107,200","5,316,536","11,790,664","4.203","13.526","15,118,080","5,160,048","9,958,032","4.080","11.953","1,989,120","1.573","23.906","395,513","406,682","2,464,056"
"2018","United States","00","Total for all sectors","Total","5,286,921","7,106,022","129,685,273","128,627,825","668,004","9.425","631,246","8.906","16,456,764","5,069,146","11,387,618","3.941","12.794","14,334,136","4,643,743","9,690,393","3.610","11.144","2,122,628","1.650","22.288","398,175","409,005","2,361,596"
"2019","United States","00","Total for all sectors","Total","5,335,794","7,182,485","131,880,286","130,728,713","687,042","9.617","610,007","8.539","15,802,072","5,025,844","10,776,228","3.844","12.088","13,532,682","4,339,677","9,193,005","3.320","10.352","2,269,390","1.736","20.703","410,490","419,007","2,376,434"
"2020","United States","00","Total for all sectors","Total","5,340,972","7,206,748","132,737,246","132,326,312","693,767","9.643","668,595","9.294","15,811,748","5,359,083","10,452,665","4.050","11.949","14,985,700","4,773,584","10,212,116","3.607","11.325","826,048","0.624","22.650","426,546","437,361","2,485,223"
"2021","United States","00","Total for all sectors","Total","5,397,456","7,259,315","127,132,349","129,977,622","784,603","10.848","731,361","10.112","14,919,274","5,245,277","9,673,997","4.036","11.478","20,597,372","5,049,732","15,547,640","3.885","15.847","−5,678,098","−4.369","22.957","439,760","456,248","2,441,755"
"2022","United States","00","Total for all sectors","Total","5,535,295","7,400,528","133,689,031","130,359,909","848,837","11.582","705,882","9.631","21,440,730","5,881,435","15,559,295","4.512","16.447","14,765,196","5,283,590","9,481,606","4.053","11.326","6,675,534","5.121","22.653","485,537","501,180","2,643,141"
